Stoichiometric Species	Prototype Label	Potentials to Test With	Structure and Potential Notes
['Al', 'Mn']	A11B4_aP15_2_a5i_2i	`EAM_Dynamo_SchopfBrommerFrigan_2012_AlMnPd__MO_137572817842_000 <https://openkim.org/id/EAM_Dynamo_SchopfBrommerFrigan_2012_AlMnPd__MO_137572817842_000>`_	A triclinic AlMn phase: https://doi.org/10.1016/j.mtla.2021.101192
['C']	A_mC16_12_4i	`EDIP_LAMMPS_Marks_2000_C__MO_374144505645_000 <https://openkim.org/id/EDIP_LAMMPS_Marks_2000_C__MO_374144505645_000>`_	Information and properties of this monoclinic carbon ("M-carbon") structure can be found here: https://doi.org/10.1103/PhysRevLett.102.175506
['U']	A_oC4_63_c	`MEAM_LAMMPS_FernandezPascuet_2014_U__MO_399431830125_002 <https://openkim.org/id/MEAM_LAMMPS_FernandezPascuet_2014_U__MO_399431830125_002>`_	Follow the link to the OpenKIM model and find the original model paper under "How to Cite" for information about this alpha-uranium structure.
['Mo', 'Ni']	AB4_tI10_87_a_h	`SNAP_LiHuChen_2018_NiMo__MO_468686727341_000 <https://openkim.org/id/SNAP_LiHuChen_2018_NiMo__MO_468686727341_000>`_	See https://aflow.org/p/AB4_tI10_87_a_h-001/ and the references within for information about this structure.
['O', 'Si']	A2B_tP6_136_f_a	`Tersoff_LAMMPS_MunetohMotookaMoriguchi_2007_SiO__MO_501246546792_000 <https://openkim.org/id/Tersoff_LAMMPS_MunetohMotookaMoriguchi_2007_SiO__MO_501246546792_000>`_	https://en.wikipedia.org/wiki/Rutile.
['Al', 'Pd']	AB_hR26_148_a2f_b2f	`MEAM_LAMMPS_JeongParkDo_2018_PdAl__MO_616482358807_002 <https://openkim.org/id/MEAM_LAMMPS_JeongParkDo_2018_PdAl__MO_616482358807_002>`_	See https://aflow.org/p/AB_hR26_148_a2f_b2f-001/ and the references within for information about this structure.
['O', 'Si']	A2B_hP9_154_c_a	`Sim_LAMMPS_Vashishta_BroughtonMeliVashishta_1997_SiO__SM_422553794879_000 <https://openkim.org/id/Sim_LAMMPS_Vashishta_BroughtonMeliVashishta_1997_SiO__SM_422553794879_000>`_	This is alpha-quartz, the ground state of quartz: https://en.wikipedia.org/wiki/Quartz
['Ni', 'Ti']	AB_hP18_157_ab2c_ab2c	`MEAM_LAMMPS_KavousiNovakBaskes_2019_NiTi__MO_050461957184_002 <https://openkim.org/id/MEAM_LAMMPS_KavousiNovakBaskes_2019_NiTi__MO_050461957184_002>`_	mp-597
['Fe', 'P']	A2B_hP9_189_fg_ad	`MEAM_LAMMPS_KoJimLee_2012_FeP__MO_179420363944_002 <https://openkim.org/id/MEAM_LAMMPS_KoJimLee_2012_FeP__MO_179420363944_002>`_	See https://aflow.org/p/A2B_hP9_189_fg_ad-001/ and the references within for information about this structure.
['Al']	A_cF4_225_a	`EAM_Dynamo_ErcolessiAdams_1994_Al__MO_123629422045_005 <https://openkim.org/id/EAM_Dynamo_ErcolessiAdams_1994_Al__MO_123629422045_005>`_	This is FCC aluminum.
